Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,2022 JCI,5 Year JIF,JIF Rank,JCI Rank
"MATRIX BIOLOGY","MATRIX BIOL","0945-053X","1569-1802","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.9","1.38","9.7"," 48/285 "," 38/315 "
"MATRIX BIOLOGY","MATRIX BIOL","0945-053X","1569-1802","CELL BIOLOGY - SCIE","6.9","1.38","9.7"," 50/191 "," 30/203 "
"CURRENT OPINION IN STRUCTURAL BIOLOGY","CURR OPIN STRUC BIOL","0959-440X","1879-033X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.8","1.11","6.6"," 49/285 "," 59/315 "
"CURRENT OPINION IN STRUCTURAL BIOLOGY","CURR OPIN STRUC BIOL","0959-440X","1879-033X","CELL BIOLOGY - SCIE","6.8","1.11","6.6"," 51/191 "," 51/203 "
"Genes & Diseases","GENES DIS","2352-4820","2352-3042","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.8","1.11","7.8"," 49/285 "," 59/315 "
"BIOLOGICAL RESEARCH","BIOL RES","0716-9760","0717-6287","BIOLOGY - SCIE","6.7","1.5","7.2"," 9/92 "," 10/111 "
"INFLAMMATION RESEARCH","INFLAMM RES","1023-3830","1420-908X","CELL BIOLOGY - SCIE","6.7","0.78","5.8"," 52/191 "," 84/203 "
"CELLULAR ONCOLOGY","CELL ONCOL","2211-3428","2211-3436","CELL BIOLOGY - SCIE","6.6","1.23","6.1"," 53/191 "," 40/203 "
"ANTIOXIDANTS & REDOX SIGNALING","ANTIOXID REDOX SIGN","1523-0864","1557-7716","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.6","1.22","8.2"," 51/285 "," 50/315 "
"EUROPEAN JOURNAL OF CELL BIOLOGY","EUR J CELL BIOL","0171-9335","1618-1298","CELL BIOLOGY - SCIE","6.6","0.61","4.8"," 53/191 "," 110/203 "
"JOURNAL OF LIPID RESEARCH","J LIPID RES","0022-2275","1539-7262","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.5","1.08","5.8"," 52/285 "," 63/315 "
"QUARTERLY REVIEW OF BIOLOGY","Q REV BIOL","0033-5770","1539-7718","BIOLOGY - SCIE","6.5","0.72","5.8"," 10/92 "," 42/111 "
"CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY","CRIT REV BIOCHEM MOL","1040-9238","1549-7798","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.5","0.7","8.3"," 52/285 "," 148/315 "
"AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY","AM J RESP CELL MOL","1044-1549","1535-4989","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.4","1.24","6.5"," 54/285 "," 48/315 "
"AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY","AM J RESP CELL MOL","1044-1549","1535-4989","CELL BIOLOGY - SCIE","6.4","1.24","6.5"," 55/191 "," 39/203 "
"HISTOPATHOLOGY","HISTOPATHOLOGY","0309-0167","1365-2559","CELL BIOLOGY - SCIE","6.4","1.12","5.1"," 55/191 "," 48/203 "
"Tissue Engineering Part B-Reviews","TISSUE ENG PART B-RE","1937-3368","1937-3376","CELL BIOLOGY - SCIE","6.4","1.03","7.5"," 55/191 "," 54/203 "
"Essays in Biochemistry","ESSAYS BIOCHEM","0071-1365","1744-1358","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.4","0.65","8.5"," 54/285 "," 166/315 "
"PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","PHILOS T R SOC B","0962-8436","1471-2970","BIOLOGY - SCIE","6.3","1.47","7.2"," 11/92 "," 11/111 "
"BIOMACROMOLECULES","BIOMACROMOLECULES","1525-7797","1526-4602","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.2","1.37","6.5"," 56/285 "," 39/315 "
"BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE","BBA-MOL BASIS DIS","0925-4439","1879-260X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.2","0.99","6.2"," 56/285 "," 71/315 "
"BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE","BBA-MOL BASIS DIS","0925-4439","1879-260X","BIOPHYSICS - SCIE","6.2","0.99","6.2"," 7/70 "," 11/74 "
"EXPERT REVIEWS IN MOLECULAR MEDICINE","EXPERT REV MOL MED","1462-3994","1462-3994","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.2","0.65","6.3"," 56/285 "," 166/315 "
"Food & Function","FOOD FUNCT","2042-6496","2042-650X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6.1","1.16","6.5"," 59/285 "," 55/315 "
"CELL BIOLOGY AND TOXICOLOGY","CELL BIOL TOXICOL","0742-2091","1573-6822","CELL BIOLOGY - SCIE","6.1","1.11","5.3"," 58/191 "," 51/203 "
"Neural Regeneration Research","NEURAL REGEN RES","1673-5374","1876-7958","CELL BIOLOGY - SCIE","6.1","0.86","5.1"," 58/191 "," 76/203 "
"QUARTERLY REVIEWS OF BIOPHYSICS","Q REV BIOPHYS","0033-5835","1469-8994","BIOPHYSICS - SCIE","6.1","0.85","6.6"," 8/70 "," 18/74 "
"Computational and Structural Biotechnology Journal","COMPUT STRUCT BIOTEC","2001-0370","2001-0370","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6","1.05","6.3"," 60/285 "," 67/315 "
"BIOFACTORS","BIOFACTORS","0951-6433","1872-8081","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","6","0.9","6.1"," 60/285 "," 88/315 "
"Cells","CELLS-BASEL","N/A","2073-4409","CELL BIOLOGY - SCIE","6","0.7","6.7"," 60/191 "," 96/203 "
"Communications Biology","COMMUN BIOL","N/A","2399-3642","BIOLOGY - SCIE","5.9","1.64","6.3"," 12/92 "," 6/111 "
"Stem Cell Reports","STEM CELL REP","2213-6711","2213-6711","CELL BIOLOGY - SCIE","5.9","1.23","6.7"," 61/191 "," 40/203 "
"Cancer & Metabolism","CANCER METAB","N/A","2049-3002","CELL BIOLOGY - SCIE","5.9","0.97","6.3"," 61/191 "," 58/203 "
"Journal of Genetics and Genomics","J GENET GENOMICS","1673-8527","1873-5533","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.9","0.89","5.9"," 62/285 "," 90/315 "
"COLLOIDS AND SURFACES B-BIOINTERFACES","COLLOID SURFACE B","0927-7765","1873-4367","BIOPHYSICS - SCIE","5.8","1.12","5.4"," 9/70 "," 8/74 "
"Open Biology","OPEN BIOL","N/A","2046-2441","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.8","0.72","6.5"," 63/285 "," 138/315 "
"STRUCTURE","STRUCTURE","0969-2126","1878-4186","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.7","1.08","5.1"," 64/285 "," 63/315 "
"STRUCTURE","STRUCTURE","0969-2126","1878-4186","BIOPHYSICS - SCIE","5.7","1.08","5.1"," 10/70 "," 10/74 "
"STRUCTURE","STRUCTURE","0969-2126","1878-4186","CELL BIOLOGY - SCIE","5.7","1.08","5.1"," 63/191 "," 53/203 "
"MOLECULAR MEDICINE","MOL MED","1076-1551","1528-3658","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.7","0.95","6.3"," 64/285 "," 77/315 "
"MOLECULAR MEDICINE","MOL MED","1076-1551","1528-3658","CELL BIOLOGY - SCIE","5.7","0.95","6.3"," 63/191 "," 62/203 "
"JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY","J ENZYM INHIB MED CH","1475-6366","1475-6374","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.6","1.27","5.2"," 66/285 "," 45/315 "
