Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,2022 JCI,5 Year JIF,JIF Rank,JCI Rank
"Statistical Analysis and Data Mining","STAT ANAL DATA MIN","1932-1864","1932-1872","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1.3","0.32","1.6"," 128/145 "," 151/192 "
"Statistical Analysis and Data Mining","STAT ANAL DATA MIN","1932-1864","1932-1872","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","1.3","0.32","1.6"," 101/110 "," 133/163 "
"Service Oriented Computing and Applications","SERV ORIENTED COMPUT","1863-2386","1863-2394","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","1.3","0.25","1.8"," N/A "," 141/163 "
"International Journal of Online and Biomedical Engineering","INT J ONLINE BIOMED","N/A","2626-8493","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","1.3","0.23","1.2"," N/A "," 143/163 "
"Qwerty","QWERTY","1828-7344","2240-2950","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","1.3","0.18","0.9"," N/A "," 150/163 "
"ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE","ANN MATH ARTIF INTEL","1012-2443","1573-7470","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1.2","0.39","1.1"," 130/145 "," 139/192 "
"JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION","J STAT COMPUT SIM","0094-9655","1563-5163","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","1.2","0.39","1.4"," 103/110 "," 124/163 "
"ACM Transactions on Economics and Computation","ACM T ECON COMPUT","2167-8375","2167-8383","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","1.2","0.35","1.7"," N/A "," 131/163 "
"QUEUEING SYSTEMS","QUEUEING SYST","0257-0130","1572-9443","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","1.2","0.26","1.2"," 103/110 "," 139/163 "
"International Arab Journal of Information Technology","INT ARAB J INF TECHN","1683-3198","1683-3198","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1.2","0.23","0.9"," 130/145 "," 159/192 "
"International Journal of Sustainable Agricultural Management and Informatics","INT J SUST AGR MANAG","2054-5819","2054-5827","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","1.2","0.22","N/A"," N/A "," 145/163 "
"JOURNAL OF NEW MUSIC RESEARCH","J NEW MUSIC RES","0929-8215","1744-5027","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","1.1","1.51","1.1"," 105/110 "," 27/163 "
"JOURNAL OF AUTOMATED REASONING","J AUTOM REASONING","0168-7433","1573-0670","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1.1","0.23","1.4"," 132/145 "," 159/192 "
"Information Technology and Control","INF TECHNOL CONTROL","1392-124X","1392-124X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1.1","0.22","1.1"," 132/145 "," 163/192 "
"INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS IN TECHNOLOGY","INT J COMPUT APPL T","0952-8091","1741-5047","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","1.1","0.22","0.9"," N/A "," 145/163 "
"International Journal on Artificial Intelligence Tools","INT J ARTIF INTELL T","0218-2130","1793-6349","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1.1","0.21","1.2"," 132/145 "," 165/192 "
"International Journal on Artificial Intelligence Tools","INT J ARTIF INTELL T","0218-2130","1793-6349","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","1.1","0.21","1.2"," 105/110 "," 147/163 "
"Turkish Journal of Electrical Engineering and Computer Sciences","TURK J ELECTR ENG CO","1300-0632","1303-6203","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1.1","0.21","1"," 132/145 "," 165/192 "
"Foundations of Computing and Decision Sciences","FOUND COMPUT DECIS S","0867-6356","2300-3405","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","1.1","0.19","0.9"," N/A "," 169/192 "
"International Journal of Swarm Intelligence Research","INT J SWARM INTELL R","1947-9263","1947-9271","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","1.1","0.18","1.1"," N/A "," 170/192 "
"JOURNAL OF COMBINATORIAL OPTIMIZATION","J COMB OPTIM","1382-6905","1573-2886","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","1","0.39","1.1"," 107/110 "," 124/163 "
